"relative_path","top","category","extension","bytes","lines","last_write_utc"
"mcps/chrome-devtools/tools/new_page.json","mcps","mcp-tool-schemas",".json","1064","30","2026-06-20T11:14:36.3544993Z"
"mcps/chrome-devtools/tools/performance_analyze_insight.json","mcps","mcp-tool-schemas",".json","812","23","2026-06-20T11:14:36.3575035Z"
"mcps/chrome-devtools/tools/performance_start_trace.json","mcps","mcp-tool-schemas",".json","1142","25","2026-06-20T11:14:36.3600072Z"
"mcps/chrome-devtools/tools/performance_stop_trace.json","mcps","mcp-tool-schemas",".json","550","15","2026-06-20T11:14:36.3637446Z"
"mcps/chrome-devtools/tools/press_key.json","mcps","mcp-tool-schemas",".json","770","22","2026-06-20T11:14:36.3657613Z"
"mcps/chrome-devtools/tools/resize_page.json","mcps","mcp-tool-schemas",".json","519","23","2026-06-20T11:14:36.3692348Z"
"mcps/chrome-devtools/tools/select_page.json","mcps","mcp-tool-schemas",".json","584","22","2026-06-20T11:14:36.3712793Z"
"mcps/chrome-devtools/tools/take_heapsnapshot.json","mcps","mcp-tool-schemas",".json","539","18","2026-06-20T11:14:36.3737833Z"
"mcps/chrome-devtools/tools/take_screenshot.json","mcps","mcp-tool-schemas",".json","1358","39","2026-06-20T11:14:36.3762915Z"
"mcps/chrome-devtools/tools/take_snapshot.json","mcps","mcp-tool-schemas",".json","921","19","2026-06-20T11:14:36.3799483Z"
"mcps/chrome-devtools/tools/type_text.json","mcps","mcp-tool-schemas",".json","550","22","2026-06-20T11:14:36.3819449Z"
"mcps/chrome-devtools/tools/upload_file.json","mcps","mcp-tool-schemas",".json","771","27","2026-06-20T11:14:36.3844516Z"
"mcps/chrome-devtools/tools/wait_for.json","mcps","mcp-tool-schemas",".json","692","26","2026-06-20T11:14:36.3879626Z"
"mcps/cloudflare-docs/tools/migrate_pages_to_workers_guide.json","mcps","mcp-tool-schemas",".json","258","9","2026-06-20T11:14:36.3909844Z"
"mcps/cloudflare-docs/tools/search_cloudflare_documentation.json","mcps","mcp-tool-schemas",".json","854","16","2026-06-20T11:14:36.3934875Z"
